Date,Forecast,Actual,Unit_Cost
2025-01-01,1014.9,1048.4,40
2025-01-02,997.5,1010.5,40
2025-01-03,1022.8,1100.3,40
2025-01-04,1050.8,1134.5,40
2025-01-05,999.8,942.9,40
2025-01-06,1001.5,906.5,40
2025-01-07,1057.5,1062.6,40
2025-01-08,1034.9,964.6,40
2025-01-09,999.5,974.2,40
2025-01-10,1031.5,1076.7,40
2025-01-11,1003.0,977.7,40
2025-01-12,1004.7,897.0,40
2025-01-13,1027.6,1030.1,40
2025-01-14,964.6,855.1,40
2025-01-15,972.0,1155.4,40
2025-01-16,1008.6,951.0,40
2025-01-17,996.7,990.6,40
2025-01-18,1038.2,1059.2,40
2025-01-19,1003.3,996.8,40
2025-01-20,989.8,1129.0,40
2025-01-21,1077.9,1093.2,40
2025-01-22,1028.8,1003.8,40
2025-01-23,1039.3,935.9,40
2025-01-24,996.2,1032.5,40
2025-01-25,1024.3,1080.9,40
2025-01-26,1045.7,1080.8,40
2025-01-27,1009.5,945.5,40
2025-01-28,1057.0,1034.0,40
2025-01-29,1029.4,1066.5,40
2025-01-30,1040.4,1004.5,40
2025-01-31,1032.8,1026.0,40
2025-02-01,1108.1,1040.3,40
2025-02-02,1053.8,1103.0,40
2025-02-03,1024.2,1047.1,40
2025-02-04,1082.3,1109.8,40
2025-02-05,1022.7,1125.1,40
2025-02-06,1067.3,1046.6,40
2025-02-07,1003.9,985.6,40
2025-02-08,1024.6,1024.2,40
2025-02-09,1072.0,1088.4,40
2025-02-10,1090.0,1189.0,40
2025-02-11,1074.6,1104.1,40
2025-02-12,1067.7,1091.7,40
2025-02-13,1063.8,1120.0,40
2025-02-14,1030.2,1041.5,40
2025-02-15,1054.7,1026.4,40
2025-02-16,1064.1,932.1,40
2025-02-17,1111.4,1099.2,40
2025-02-18,1091.7,1073.6,40
2025-02-19,1030.2,1035.4,40
2025-02-20,1094.5,1228.8,40
2025-02-21,1074.9,1076.7,40
2025-02-22,1067.8,1063.6,40
2025-02-23,1108.2,935.8,40
2025-02-24,1122.5,1135.9,40
2025-02-25,1121.2,1100.1,40
2025-02-26,1069.7,1072.2,40
2025-02-27,1087.3,1169.1,40
2025-02-28,1108.2,1028.2,40
2025-02-28,1129.3,1076.6,40
