Date,Forecast,Actual,Unit_Cost
2025-05-01,1025,1010,50.52
2025-05-02,993,904,54.48
2025-05-03,1032,936,54.5
2025-05-04,1076,1141,53.04
2025-05-05,988,1096,46.35
2025-05-06,988,982,57.53
2025-05-07,1079,1159,49.81
2025-05-08,1038,1067,47.8
2025-05-09,977,925,45.61
2025-05-10,1027,1056,53.86
2025-05-11,977,1100,55.16
2025-05-12,977,974,45.25
2025-05-13,1012,1137,52.68
2025-05-14,904,694,48.4
2025-05-15,914,980,54.68
2025-05-16,972,979,47.62
2025-05-17,949,925,55.36
2025-05-18,1016,1023,50.8
2025-05-19,955,796,59.05
2025-05-20,929,911,47.06
2025-05-21,1073,1102,50.12
2025-05-22,989,1107,46.7
2025-05-23,1003,962,58.87
2025-05-24,929,864,58.16
2025-05-25,973,933,48.87
2025-05-26,1006,1079,54.9
2025-05-27,942,968,57.26
2025-05-28,1019,977,53.33
2025-05-29,970,1011,52.94
2025-05-30,985,993,48.63
2025-05-31,970,1047,46.4
2025-06-01,1093,1037,58.46
2025-06-02,999,973,58.51
2025-06-03,947,916,54.5
2025-06-04,1041,924,50.09
2025-06-05,939,963,50.24
2025-06-06,1010,1031,55.89
2025-06-07,902,902,58.46
2025-06-08,934,915,58.31
2025-06-09,1010,897,56.7
2025-06-10,1037,1003,54.63
2025-06-11,1009,982,46.26
2025-06-12,994,930,47.42
2025-06-13,985,972,58.48
2025-06-14,926,958,54.1
2025-06-15,964,1115,45.14
2025-06-16,977,991,46.52
2025-06-17,1053,1074,54.95
2025-06-18,1017,1011,45.08
2025-06-19,912,758,47.41
2025-06-20,1016,1014,53.23
2025-06-21,981,986,55.38
2025-06-22,966,1163,54.78
2025-06-23,1031,1016,48.36
2025-06-24,1052,1076,55.68
2025-06-25,1047,1044,48.56
2025-06-26,958,865,49.88
2025-06-27,985,1076,56.2
2025-06-28,1017,1077,54.74
2025-06-29,1049,1112,57.74
2025-06-30,976,903,54.86
